epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7351,1.54844,3.83965,1.27713,0.01341,0.4852,0.04645,0.02646,1.41033,3.80361,1.15688,0.00024543,0.00024543,0.00024543
2,38.4681,1.56805,3.07826,1.23915,0.01194,0.52009,0.10094,0.05169,1.53209,3.51527,1.24291,0.000495,0.000495,0.000495
3,50.5854,1.65712,2.50186,1.29671,0.57626,0.10725,0.18491,0.09653,1.58077,3.15456,1.33407,0.000739531,0.000739531,0.000739531
4,64.5369,1.61409,2.2401,1.29748,0.29291,0.28172,0.23246,0.12012,1.67512,2.71601,1.43311,0.000882003,0.000882003,0.000882003
5,78.9779,1.5931,2.02998,1.27308,0.41348,0.39435,0.37453,0.20252,1.6828,2.13308,1.3596,0.000873004,0.000873004,0.000873004
6,93.4789,1.55556,1.91578,1.26501,0.41884,0.48645,0.38902,0.21087,1.63933,2.02938,1.33305,0.000864004,0.000864004,0.000864004
7,105.686,1.5408,1.8448,1.25119,0.52203,0.4281,0.45166,0.23346,1.62315,1.88952,1.36178,0.000855005,0.000855005,0.000855005
8,117.782,1.53771,1.78102,1.25334,0.53867,0.44029,0.46336,0.25368,1.58426,1.77479,1.33333,0.000846006,0.000846006,0.000846006
9,131.586,1.50219,1.65141,1.22004,0.65007,0.49605,0.5158,0.2763,1.61202,1.75781,1.32453,0.000837007,0.000837007,0.000837007
10,145.742,1.46348,1.6117,1.2138,0.60553,0.52878,0.53961,0.28309,1.57613,1.63798,1.33715,0.000828008,0.000828008,0.000828008
11,158.935,1.47156,1.6096,1.23211,0.57611,0.54839,0.52716,0.28622,1.57112,1.5745,1.29057,0.000819009,0.000819009,0.000819009
12,170.317,1.42945,1.52743,1.18584,0.56886,0.59512,0.57324,0.31348,1.55516,1.53114,1.28962,0.00081001,0.00081001,0.00081001
13,184.024,1.47333,1.52783,1.21297,0.69117,0.50287,0.58448,0.32294,1.55995,1.52059,1.29464,0.000801011,0.000801011,0.000801011
14,198.037,1.46573,1.48924,1.20447,0.59833,0.58522,0.59254,0.32004,1.59354,1.43435,1.32108,0.000792012,0.000792012,0.000792012
15,211.905,1.43675,1.44746,1.21071,0.681,0.62026,0.65097,0.35992,1.54658,1.38226,1.2606,0.000783013,0.000783013,0.000783013
16,223.549,1.43254,1.42926,1.19087,0.69041,0.62444,0.63847,0.36506,1.55681,1.40205,1.31326,0.000774013,0.000774013,0.000774013
17,237.327,1.42922,1.39416,1.19099,0.74329,0.57022,0.66029,0.37142,1.50942,1.33739,1.25818,0.000765014,0.000765014,0.000765014
18,251.377,1.43245,1.3482,1.18735,0.70354,0.62558,0.66657,0.39112,1.52768,1.27482,1.26071,0.000756015,0.000756015,0.000756015
19,265.716,1.37867,1.32233,1.1778,0.68247,0.58129,0.621,0.35993,1.51953,1.38675,1.2756,0.000747016,0.000747016,0.000747016
20,277.132,1.40299,1.31152,1.17309,0.69918,0.63505,0.65523,0.37991,1.51639,1.26977,1.25813,0.000738017,0.000738017,0.000738017
21,290.757,1.33527,1.22902,1.13692,0.65978,0.60707,0.63158,0.36205,1.5141,1.33042,1.26689,0.000729018,0.000729018,0.000729018
22,304.692,1.365,1.22984,1.17063,0.66801,0.55566,0.59724,0.34348,1.53961,1.43144,1.28137,0.000720019,0.000720019,0.000720019
23,318.666,1.34635,1.23255,1.14649,0.72028,0.65088,0.70216,0.41188,1.48151,1.2061,1.24893,0.00071102,0.00071102,0.00071102
24,330.979,1.3162,1.19642,1.14135,0.78973,0.65329,0.72524,0.40743,1.51482,1.17327,1.25244,0.000702021,0.000702021,0.000702021
25,343.108,1.33223,1.16958,1.12775,0.75696,0.62016,0.68009,0.38683,1.53917,1.23908,1.27759,0.000693022,0.000693022,0.000693022
26,357.513,1.33031,1.17562,1.14309,0.7457,0.61762,0.69573,0.39744,1.50495,1.23236,1.25344,0.000684022,0.000684022,0.000684022
27,371.727,1.33169,1.17899,1.14041,0.74576,0.64431,0.71658,0.40486,1.52603,1.23954,1.26579,0.000675023,0.000675023,0.000675023
28,383.86,1.31246,1.16047,1.14146,0.79535,0.6657,0.73629,0.43573,1.48523,1.17106,1.24193,0.000666024,0.000666024,0.000666024
29,396.328,1.32899,1.13793,1.1296,0.75094,0.59406,0.66121,0.38085,1.50951,1.25831,1.26642,0.000657025,0.000657025,0.000657025
30,410.646,1.31781,1.13628,1.13483,0.73433,0.69734,0.72401,0.42775,1.4761,1.15957,1.23507,0.000648026,0.000648026,0.000648026
31,424.775,1.3127,1.10723,1.12929,0.76572,0.6576,0.72048,0.40762,1.5256,1.1923,1.27767,0.000639027,0.000639027,0.000639027
32,436.918,1.28346,1.11459,1.12027,0.78368,0.62013,0.71076,0.40999,1.49786,1.21863,1.24723,0.000630028,0.000630028,0.000630028
33,449.316,1.28636,1.05633,1.09973,0.7569,0.64068,0.69457,0.40394,1.49655,1.25474,1.2629,0.000621029,0.000621029,0.000621029
34,463.706,1.29127,1.05637,1.11795,0.75175,0.68039,0.71489,0.422,1.48368,1.18167,1.23954,0.00061203,0.00061203,0.00061203
35,478.436,1.27556,1.06297,1.11258,0.74467,0.68308,0.72905,0.42578,1.46344,1.14182,1.2238,0.000603031,0.000603031,0.000603031
36,491.432,1.26258,1.02887,1.10796,0.76846,0.7049,0.74285,0.43211,1.49274,1.11748,1.24969,0.000594031,0.000594031,0.000594031
37,503.573,1.27381,1.03073,1.10555,0.7541,0.67727,0.7256,0.42266,1.48782,1.13478,1.23959,0.000585032,0.000585032,0.000585032
38,517.634,1.24001,0.99943,1.09996,0.78334,0.63522,0.72013,0.41429,1.45622,1.14861,1.24029,0.000576033,0.000576033,0.000576033
39,531.698,1.31315,1.05088,1.11259,0.72063,0.72037,0.73326,0.42642,1.47072,1.09997,1.24593,0.000567034,0.000567034,0.000567034
40,544.448,1.24143,1.00816,1.10521,0.7698,0.67543,0.72911,0.42964,1.48386,1.11061,1.24748,0.000558035,0.000558035,0.000558035
41,555.78,1.23514,0.99275,1.09412,0.72277,0.68076,0.72146,0.41335,1.51516,1.18599,1.26896,0.000549036,0.000549036,0.000549036
42,569.486,1.25277,0.99304,1.10673,0.77742,0.66853,0.73707,0.42975,1.5109,1.13015,1.27104,0.000540037,0.000540037,0.000540037
43,583.784,1.23304,0.97008,1.09224,0.7372,0.65106,0.68925,0.40232,1.51935,1.22737,1.26757,0.000531038,0.000531038,0.000531038
